 ,Image_ID,Track,Mother?,Frame,X,Y,Ch1_Mean,Ch2_Mean,Ch3_Mean,Ch4_Mean,Ch5_Mean,Cilia_COMX,Cilia_COMY,Distance_to_Cilia_(um),Length,Feret,Straightness,Kurt,Skew,Angle
1,280316_weekend_xy10.nd2,1,1,1,178,119,40.8000,1126.4000,22.3750,835.6000,0,188,116,10.4403,8.5440,9.8489,1.1527,-0.4236,0.4637,113.9625
2,280316_weekend_xy10.nd2,1,1,2,178,122,38.2625,1232.4125,27.2000,799.8500,0,190,115,13.8924,7.2111,8.6023,1.1929,-1.0973,-0.9324,125.5377
3,280316_weekend_xy10.nd2,1,1,3,178,124,36.2500,1190.9875,21.1875,773.2375,0,190,124,12.0000,8.2462,9.4868,1.1504,-0.6425,-0.3063,71.5651
4,280316_weekend_xy10.nd2,1,1,4,183,124,43.5000,1260.1000,30.4375,796.2125,0,195,124,12.0000,6.7082,8.0623,1.2019,-1.2194,-0.2242,60.2551
5,280316_weekend_xy10.nd2,1,1,5,177,125,49.8125,1290.1500,29.7250,835.0125,0,190,125,13.0000,7.0711,8.2462,1.1662,1.6400,-1.6691,75.9638
6,280316_weekend_xy10.nd2,1,1,6,181,124,85.7875,759.5750,26.6875,813.6125,0,190,128,9.8489,4.4721,5.8310,1.3038,-1.6996,-0.1971,30.9638
7,280316_weekend_xy10.nd2,1,1,7,180,118,45.9625,462.1875,34.5500,823.4375,0,180,117,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,280316_weekend_xy10.nd2,1a,0,8,197,122,122.3125,88.1750,57.5625,739.0125,0,197,121,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,280316_weekend_xy10.nd2,1a,0,9,196,126,68.8625,16.4500,72.0500,826.7625,0,196,125,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,280316_weekend_xy10.nd2,1a,0,10,224,156,44.5625,18.4625,70.7125,828.6500,0,224,155,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,280316_weekend_xy10.nd2,1a,0,11,230,167,74.5875,27.3125,89.6250,784.6000,0,230,166,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,280316_weekend_xy10.nd2,1a,0,12,193,131,46.2625,21.1500,110.6250,773.5625,0,193,130,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,280316_weekend_xy10.nd2,1a,0,13,194,133,54.5125,26.1000,135.1750,781.6125,0,194,132,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,280316_weekend_xy10.nd2,1a,0,14,193,128,70.1250,24.3500,146.6500,760.5250,0,193,127,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,280316_weekend_xy10.nd2,1a,0,15,191,128,48.3375,28.6875,208.1375,701.7875,0,191,127,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,280316_weekend_xy10.nd2,1a,0,16,191,129,45.6875,30.8000,233.8500,747.2375,0,191,128,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,280316_weekend_xy10.nd2,1a,0,17,191,136,57.8750,37.2625,274.9000,837.3125,0,191,135,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,280316_weekend_xy10.nd2,1a,0,18,188,140,94.6125,34.3250,301.9625,838.6125,0,188,139,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,280316_weekend_xy10.nd2,1a,0,19,189,144,126.0000,36.7875,382.9500,791.2250,0,189,143,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,280316_weekend_xy10.nd2,1a,0,20,189,147,70.7375,40.9750,470.6000,797.4500,0,189,146,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,280316_weekend_xy10.nd2,1a,0,21,192,151,67.5500,42.6000,501.1250,758.7875,0,192,150,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,280316_weekend_xy10.nd2,1a,0,22,200,149,69.9750,45.4875,560.7375,791.6125,0,200,148,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,280316_weekend_xy10.nd2,1a,0,23,204,148,63.4250,50.5875,602.8375,802.3750,0,204,147,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,280316_weekend_xy10.nd2,1a,0,24,202,147,46.1125,42.0250,720.2125,766.7250,0,202,146,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,280316_weekend_xy10.nd2,1a,0,25,196,145,56.9000,38.4750,697.7250,815.1750,0,196,144,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,280316_weekend_xy10.nd2,1a,0,26,195,142,71.1500,42.3250,670.1250,787.5375,0,195,141,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,280316_weekend_xy10.nd2,1a,0,27,193,142,64.1000,31.6625,737.6000,759.2500,0,193,141,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,280316_weekend_xy10.nd2,1a,0,28,193,142,65.8000,35.7000,770.1875,895.7875,0,193,141,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,280316_weekend_xy10.nd2,1a,0,29,222,146,53.5125,38.6500,779.9500,856.3000,0,226,135,11.7047,6.0000,7.0711,1.1785,-0.9076,0.4347,98.1301
30,280316_weekend_xy10.nd2,1a,0,30,223,144,59.2250,28.9750,811.1250,915.8625,0,231,134,12.8062,9.1530,10.2956,1.1248,-0.8653,0.8491,119.0546
31,280316_weekend_xy10.nd2,1a,0,31,216,143,55.9250,32.9375,848.6000,757.7625,0,226,130,16.4012,8.6392,8.6023,0.9957,0.1696,-0.3682,54.4623
